manufacturer,model,category,rated_capacity_pints_day,test_standard,coverage_area_sqft,power_watts,power_amps,voltage,duct_type,min_operating_temp_f,price_usd,source_url,notes
GE,ADEW70LR,portable,70,DOE_65_60,,632,,115,standalone,41,,https://www.consumerreports.org/appliances/dehumidifiers/ge-adew70lr-walmart/m262227/,also sold as ADEL70LR (Home Depot) / ADEL70LW; low-temp rated
hOmeLabs,HME020031N,portable,50,,4500,610,,,standalone,41,259.99,https://www.dehumidifierbuyersguide.com/homelabs-dehumidifier-review/,"WiFi enabled; independent lab measured ~49.93 pints, consistent with current DOE rating though not explicitly labeled on source"
Danby,DDR050BJPWDB-6,portable,50,DOE_65_60,3000,572,,,standalone,41,,https://www.dehumidifierbuyersguide.com/danby-ddr050bjpwdb-review/,pump model; sold by Danby as '50 Pint DoE Dehumidifier with Pump'
Honeywell,TP70WKN,portable,50,DOE_65_60,4000,710,6.6,115,standalone,41,379.95,https://www.honeywellstore.com/store/products/honeywell-70-pint-energy-star-dehumidifier-for-larger-rooms-tp70wkn.htm,also marketed as 70 pint under legacy AHAM 80/60 standard; model name reflects legacy rating
Black+Decker,BDT50WTB,portable,50,DOE_65_60,4500,540,5,115,standalone,,,https://www.dehumidifierbuyersguide.com/blackdecker-bdt50wtb-review/,Lowe's/Home Depot list coverage as 'rooms 3001+ sq ft'; ENERGY STAR cert lists 49.63 pints/day
AprilAire,E070,whole_house_crawlspace,53,DOE_73_60,up to 2200 sq ft,,5.4,120V,ducted_optional,50,,https://crawlspacedepot.com/content/aprilaire-e070-specification-sheet.pdf,"Also rated 70 ppd at legacy AHAM 80F/60%RH (basis for 5.4A draw). Ships with 8 in duct collars; works standalone or ducted for whole-home or crawlspace use. Min temp for dehumidification mode 50-104F inlet air, 40F dew point min."
AprilAire,E080,whole_house_crawlspace,80,AHAM_80_60,4400,612,4.8,120,ducted_optional,50,,https://shop.aprilaire.com/products/aprilaire-e080-80-pint-dehumidifier,Corrosion-resistant aluminum coils; MERV 8 washable filter; 10-inch duct collars; ENERGY STAR Most Efficient 2025
AprilAire,E100,whole_house_crawlspace,85,DOE_73_60,up to 5500 sq ft,,6.9,120V,ducted_optional,50,2299.99,https://www.appliancefactoryparts.com/content/pdfs/288705-1.pdf,"Also rated 100 ppd at legacy AHAM 80F/60%RH (basis for 6.9A draw, 280 CFM). 10 in duct collars. Min temp for dehumidification mode 50-104F inlet air, 40F dew point min."
AprilAire,E130,whole_house_crawlspace,105,DOE_73_60,up to 7200 sq ft,,8.3,120V,ducted_optional,50,2569.99,https://images.thdstatic.com/catalog/pdfImages/de/de62b1dd-cb2f-5995-9628-60952458c9fc.pdf,"Also rated 130 ppd at legacy AHAM 80F/60%RH (basis for 8.3A draw, 310 CFM). ENERGY STAR Most Efficient 2025. 10 in duct collars."
Santa Fe,Ultra70,whole_house,52.45,DOE_73_60,up to 1800 sq ft,492,4.1,115V,ducted,49,1904,https://www.santa-fe-products.com/wp-content/uploads/2020/01/Ultra70-A2L-Data-Sheet.pdf,Made by Therma-Stor; previously branded Ultra-Aire 70H. Also rated 70 ppd at legacy AHAM 80F/60%RH. Ducted whole-house unit with optional fresh-air ventilation.
Santa Fe,Ultra98,whole_house,98,AHAM_80_60,up to 2300 sq ft,670,5.9,115V,ducted,49,2117,https://www.santa-fe-products.com/wp-content/uploads/2020/01/Santa-Fe-Ultra98-Data-Sheet.pdf,Made by Therma-Stor; previously branded Ultra-Aire 98H. Ducted ventilating dehumidifier with MERV-13 filtration; current DOE 73F/60% figure not published.
Santa Fe,Ultra120,whole_house,121,AHAM_80_60,up to 3000 sq ft,840,7.3,115V,ducted,49,,https://www.santa-fe-products.com/wp-content/uploads/2020/01/Santa-Fe-Ultra120-Data-Sheet.pdf,Made by Therma-Stor; previously branded Ultra-Aire 120H. Largest model still fitting small-medium commercial/large residential scope.
AlorAir,Sentinel HD55S,crawlspace,55,AHAM_80_60,1300,,,,standalone,34,519,https://aloraircrawlspace.com/products/alorair-120-ppd-crawl-space-dehumidifiers-sentinel-hd55-white,"120 ppd at saturation vs 55 ppd AHAM; auto-defrost enables continuous operation down to approx 34F; gravity drain, no built-in pump"
AlorAir,Sentinel HDi90,crawlspace,90,AHAM_80_60,2600,,5.56,115,standalone,34,918,https://aloraircrawlspace.com/products/alorair-198-ppd-crawl-space-dehumidifiers-sentinel-hdi90-build-in-pump,198 ppd at saturation vs 90 ppd AHAM; built-in condensate pump; auto-defrost to approx 33.8F
AlorAir,Sentinel HDi100,crawlspace,100,AHAM_80_60,2900,,6.82,115,ducted_optional,34,1050,https://aloraircrawlspace.com/products/alorair-220ppd-crawl-space-dehumidifier-sentinel-hdi100-white,"220 ppd at saturation vs 100 ppd AHAM; can be ducted into HVAC system; built-in condensate pump, auto-defrost to approx 33.8F"
Anden,A130,crawlspace,130,AHAM_80_60,,920,8.3,120,standalone,50,1886,https://www.anden.com/products/model-a130-dehumidifier/,"Made by Therma-Stor; commercial-grade construction; freestanding, suspended, or built into ductwork. Dehumidification mode requires min 50F inlet air / 40F dew point."
